costat,curcd,datafmt,indfmt,consol,sic,datadate,gvkey,cusip,fyr,fyear,csho,dt,prcc_f
A,USD,STD,INDL,C,3826,2020-12-31,002220,090572207,12,2020,29.8440,225.6910,582.940000000000
A,USD,STD,INDL,C,1381,2020-12-31,002270,G9460G101,12,2020,199.5500,37.3000,0.050200000000
A,USD,STD,INDL,C,3721,2020-12-31,002285,097023105,12,2020,582.3200,64935.0000,214.060000000000
A,USD,STD,INDL,C,7363,2020-12-31,002312,770323103,12,2020,113.1280,302.7120,62.480000000000
I,USD,STD,INDL,C,2621,2020-12-31,002337,76117W109,12,2020,80.8000,625.0000,6.540000000000
A,USD,STD,INDL,C,6200,2020-12-31,002369,11271J107,12,2020,1510.7200,160323.0000,41.270000000000
A,USD,STD,INDL,C,2834,2020-12-31,002403,110122108,12,2020,2244.0000,51333.0000,62.030000000000
A,CAD,STD,INDL,C,4812,2020-12-31,002408,87971M103,12,2020,1291.0000,20288.0000,25.210000000000
A,USD,STD,INDL,C,2911,2020-12-31,002410,055622104,12,2020,3377.3380,80689.0000,20.520000000000
A,USD,STD,INDL,C,3510,2020-12-31,002444,117043109,12,2020,77.8750,1040.4000,76.240000000000
A,USD,STD,INDL,C,3330,2020-12-31,002448,576690101,12,2020,20.3280,125.6120,63.720000000000
A,USD,STD,INDL,C,1623,2020-12-31,002497,576323109,12,2020,74.1660,1491.7290,68.180000000000
A,USD,STD,INDL,C,7373,2020-12-31,002504,909214306,12,2020,63.0000,729.4000,19.680000000000
A,USD,STD,INDL,C,6324,2020-12-31,002547,125523100,12,2020,354.7710,32532.0000,208.180000000000
A,USD,STD,INDL,C,6331,2020-12-31,002558,126117100,12,2020,271.3920,3055.0000,38.960000000000
A,USD,STD,INDL,C,4011,2020-12-31,002574,126408103,12,2020,762.5290,17205.0000,90.750000000000
A,USD,STD,INDL,C,3670,2020-12-31,002577,126501105,12,2020,32.2770,81.0570,34.330000000000
A,USD,STD,INDL,C,7373,2020-12-31,002578,87969B101,12,2020,64.6250,17.2580,32.980000000000
A,USD,STD,INDL,C,3559,2020-12-31,002581,126601103,12,2020,6.6790,13.7970,3.630000000000
A,USD,STD,INDL,C,4941,2020-12-31,002628,130788102,12,2020,50.3340,801.8520,54.030000000000
A,CAD,STD,INDL,C,2000,2020-12-31,002675,564905107,12,2020,123.1800,986.1850,28.220000000000
A,CAD,STD,INDL,C,4011,2020-12-31,002696,136375102,12,2020,710.3000,13268.0000,139.940000000000
A,CAD,STD,INDL,C,4011,2020-12-31,002698,13646K108,12,2020,133.3000,9262.0000,441.530000000000
A,CAD,STD,INDL,C,5399,2020-12-31,002703,136681202,12,2020,60.8070,6492.7000,167.330000000000
A,USD,STD,INDL,C,3577,2020-12-31,002721,138006309,12,2020,1045.7730,4404.7220,19.410000000000
A,USD,STD,INDL,C,6519,2020-12-31,002735,140430109,12,2020,6.6000,0.0000,12.350000000000
A,USD,STD,INDL,C,2950,2020-12-31,002771,142339100,12,2020,52.9000,2158.9000,156.180000000000
A,CAD,STD,INDL,C,1000,2020-12-31,002777,40281L109,12,2020,78.5980,0.0000,0.070000000000
I,USD,STD,INDL,C,5051,2020-12-31,002811,148411408,12,2020,7.2550,251.9480,3.040000000000
A,USD,STD,INDL,C,3531,2020-12-31,002817,149123101,12,2020,545.3040,35768.0000,182.020000000000
A,USD,STD,INDL,C,6792,2020-12-31,002852,15459P108,12,2020,0.4880,0.0000,7.750000000000
A,USD,STD,INDL,C,4813,2020-12-31,002884,550241103,12,2020,1096.9210,33621.0000,9.750000000000
I,USD,STD,INDL,C,8741,2020-12-31,002940,559079207,12,2020,25.8870,677.8250,82.840000000000
A,USD,STD,INDL,C,8082,2020-12-31,002960,16359R103,12,2020,15.9070,135.4100,532.610000000000
A,USD,STD,INDL,C,2836,2020-12-31,002990,15117N701,12,2020,40.7010,6.1950,0.711000000000
A,USD,STD,INDL,C,2911,2020-12-31,002991,166764100,12,2020,1925.1860,46859.0000,84.450000000000
